1730391541	0	1730391543
1730391543	1	1730391560
1730391560	2	1730391578
1730391578	3	1730391596
1730391596	4	1730391614
1730391614	5	1730391632
1730391632	6	1730391651
1730391651	7	1730391669
1730391669	8	1730391686
1730391686	9	1730391704
1730391704	10	1730393024
1730393024	11	1730393042
1730393042	12	1730393060
1730393060	13	1730393078
1730393078	14	1730393096
1730393096	15	1730393115
1730393115	16	1730393133
1730393133	17	1730393151
1730393151	18	1730393169
1730393169	19	1730393187
1730393187	20	1730394507
1730394507	21	1730394525
1730394525	22	1730394543
1730394543	23	1730394561
1730394561	24	1730394579
1730394579	25	1730394597
1730394597	26	1730394615
1730394615	27	1730394633
1730394633	28	1730394651
1730394651	29	1730394669
1730394669	30	1730395989
1730395989	31	1730396007
1730396007	32	1730396025
1730396025	33	1730396043
1730396043	34	1730396061
1730396061	35	1730396079
1730396079	36	1730396097
1730396097	37	1730396116
1730396116	38	1730396134
1730396134	39	1730396152
1730396152	40	1730397472
1730397472	41	1730397490
1730397490	42	1730397508
1730397508	43	1730397526
1730397526	44	1730397544
1730397544	45	1730397562
1730397562	46	1730397580
1730397580	47	1730397598
1730397598	48	1730397616
1730397616	49	1730397634
1730397634	50	1730398954
1730398954	42	1730398956
1730398956	41	1730398957
1730398957	40	1730398958
1730398958	39	1730398960
1730398960	35	1730398964
1730398964	34	1730398966
1730398966	33	1730398968
1730398968	32	1730398971
1730398971	31	1730398973
1730398973	30	1730398974
1730398974	29	1730398975
1730398975	27	1730398976
1730398976	26	1730398977
1730398977	23	1730398978
1730398978	20	1730398979
1730398979	19	1730398980
1730398980	18	1730398981
1730398981	17	1730398982
1730398982	14	1730398983
1730398983	13	1730398985
1730398985	12	1730398986
1730398986	11	1730398989
1730398989	9	1730398990
1730398990	8	1730398991
1730398991	7	1730398993
1730398993	6	1730398994
1730398994	5	1730398995
1730398995	2	1730398996
1730398996	1	1730398997
