43 1730377141 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377142 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377143 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377144 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377145 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377146 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377147 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377148 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377149 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377150 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377151 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377152 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377153 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377154 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377155 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377156 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377157 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377158 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377159 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377160 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377161 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377162 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377163 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377164 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377165 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377166 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377167 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377168 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377169 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377170 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377171 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377172 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377173 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377174 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377175 0,200000 -1,000000 -101,000000 0,000000 0,000000
43 1730377176 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377177 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377178 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377179 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377180 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377181 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377182 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377183 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377184 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377185 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377186 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377187 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377188 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377189 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377190 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377191 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377192 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377193 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377194 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377195 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377196 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377197 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377198 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377199 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377200 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377201 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377202 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377203 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377204 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377205 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377206 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377207 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377208 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377209 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377210 0,400000 -1,000000 -101,000000 0,000000 0,000000
43 1730377211 1,000000 -1,000000 -101,000000 0,000000 0,000000
43 1730377212 1,000000 -1,000000 -101,000000 0,000000 0,000000
43 1730377213 1,000000 -1,000000 -101,000000 0,000000 0,000000
43 1730377214 1,000000 -1,000000 -101,000000 0,000000 0,000000
43 1730377215 1,000000 -1,000000 -101,000000 0,000000 0,000000
43 1730377216 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377217 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377218 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377219 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377220 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377221 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377222 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377223 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377224 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377225 0,600000 -1,000000 -101,000000 0,000000 0,000000
43 1730377226 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377227 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377228 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377229 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377230 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377231 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377232 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377233 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377234 0,800000 -1,000000 -101,000000 0,000000 0,000000
43 1730377235 0,800000 -1,000000 -101,000000 0,000000 0,000000
