offline_datapoint_11 1730377144 1065958,000
offline_datapoint_5 1730377144 3774,000
offline_datapoint_26 1730377144 908611584,000
offline_datapoint_14 1730377144 581296128,000
offline_datapoint_3 1730377144 12303781888,000
offline_datapoint_9 1730377144 335814656,000
offline_datapoint_25 1730377144 7970,000
offline_datapoint_19 1730377141 56,773
offline_datapoint_8 1730377141 17701,316
offline_datapoint_21 1730377144 335814656,000
offline_datapoint_1 1730377141 7,507
offline_datapoint_20 1730377144 8633995264,000
offline_datapoint_7 1730377144 9841745920,000
offline_datapoint_6 1730377141 0,122
offline_datapoint_12 1730377141 16,194
offline_datapoint_24 1730377141 7,147
offline_datapoint_13 1730377141 11473,223
offline_datapoint_18 1730377144 0,000
offline_datapoint_0 1730377141 13590,230
offline_datapoint_16 1730377141 1656,258
offline_datapoint_28 1730377141 0,335
offline_datapoint_17 1730377141 24,398
offline_datapoint_10 1730377141 99,663
offline_datapoint_29 1730377141 1,408
offline_datapoint_22 1730377141 14508,308
offline_datapoint_4 1730377141 0,013
offline_datapoint_11 1730377145 1065958,000
offline_datapoint_5 1730377145 3773,000
offline_datapoint_26 1730377145 908664832,000
offline_datapoint_14 1730377145 581812224,000
offline_datapoint_3 1730377145 12298838016,000
offline_datapoint_9 1730377145 333545472,000
offline_datapoint_25 1730377145 7981,000
offline_datapoint_19 1730377144 0,577
offline_datapoint_8 1730377144 504,636
offline_datapoint_21 1730377145 333545472,000
offline_datapoint_1 1730377144 0,577
offline_datapoint_20 1730377145 8628793344,000
offline_datapoint_7 1730377145 9824833536,000
offline_datapoint_6 1730377144 0,000
offline_datapoint_12 1730377144 0,832
offline_datapoint_24 1730377144 0,676
offline_datapoint_13 1730377144 2707,153
offline_datapoint_18 1730377145 0,000
offline_datapoint_0 1730377144 4371,009
offline_datapoint_16 1730377144 88,816
offline_datapoint_28 1730377144 0,130
offline_datapoint_17 1730377144 31,720
offline_datapoint_10 1730377144 99,904
offline_datapoint_29 1730377144 10,381
offline_datapoint_22 1730377144 18497,164
offline_datapoint_4 1730377144 0,005
offline_datapoint_11 1730377148 1065958,000
offline_datapoint_5 1730377148 3769,000
offline_datapoint_26 1730377148 908673024,000
offline_datapoint_14 1730377148 581812224,000
offline_datapoint_3 1730377148 12302553088,000
offline_datapoint_9 1730377148 334004224,000
offline_datapoint_25 1730377148 7982,000
offline_datapoint_19 1730377146 0,000
offline_datapoint_8 1730377146 3068,006
offline_datapoint_21 1730377148 334004224,000
offline_datapoint_1 1730377146 0,000
offline_datapoint_20 1730377148 8633004032,000
offline_datapoint_7 1730377148 9829380096,000
offline_datapoint_6 1730377146 0,000
offline_datapoint_12 1730377146 2,884
offline_datapoint_24 1730377146 1,210
offline_datapoint_13 1730377146 3216,378
offline_datapoint_18 1730377148 0,000
offline_datapoint_0 1730377146 4391,734
offline_datapoint_16 1730377146 799,945
offline_datapoint_28 1730377146 0,084
offline_datapoint_17 1730377146 28,546
offline_datapoint_10 1730377146 99,879
offline_datapoint_29 1730377146 0,000
offline_datapoint_22 1730377146 8567,070
offline_datapoint_4 1730377146 0,003
offline_datapoint_11 1730377151 1065958,000
offline_datapoint_5 1730377151 3779,000
offline_datapoint_26 1730377151 908673024,000
offline_datapoint_14 1730377151 581812224,000
offline_datapoint_3 1730377151 12302450688,000
offline_datapoint_9 1730377151 333656064,000
offline_datapoint_25 1730377151 7979,000
offline_datapoint_19 1730377149 0,000
offline_datapoint_8 1730377149 5757,016
offline_datapoint_21 1730377151 333656064,000
offline_datapoint_1 1730377149 0,000
offline_datapoint_20 1730377151 8633565184,000
offline_datapoint_7 1730377151 9829867520,000
offline_datapoint_6 1730377149 0,000
offline_datapoint_12 1730377149 3,425
offline_datapoint_24 1730377149 1,652
offline_datapoint_13 1730377149 3350,666
offline_datapoint_18 1730377151 0,000
offline_datapoint_0 1730377149 4749,614
offline_datapoint_16 1730377149 955,664
offline_datapoint_28 1730377149 0,047
offline_datapoint_17 1730377149 10,014
offline_datapoint_10 1730377149 99,943
offline_datapoint_29 1730377149 1,335
offline_datapoint_22 1730377149 10513,067
offline_datapoint_4 1730377149 0,002
offline_datapoint_11 1730377154 1065958,000
offline_datapoint_5 1730377154 3777,000
offline_datapoint_26 1730377154 909074432,000
offline_datapoint_14 1730377154 578428928,000
offline_datapoint_3 1730377154 12300009472,000
offline_datapoint_9 1730377154 333684736,000
offline_datapoint_25 1730377154 7971,000
offline_datapoint_19 1730377152 0,000
offline_datapoint_8 1730377152 1374,038
offline_datapoint_21 1730377154 333684736,000
offline_datapoint_1 1730377152 0,000
offline_datapoint_20 1730377154 8632762368,000
offline_datapoint_7 1730377154 9829531648,000
offline_datapoint_6 1730377152 0,000
offline_datapoint_12 1730377152 1,707
offline_datapoint_24 1730377152 0,869
offline_datapoint_13 1730377152 2824,505
offline_datapoint_18 1730377154 0,000
offline_datapoint_0 1730377152 3632,174
offline_datapoint_16 1730377152 606,753
offline_datapoint_28 1730377152 0,036
offline_datapoint_17 1730377152 9,679
offline_datapoint_10 1730377152 99,957
offline_datapoint_29 1730377152 0,667
offline_datapoint_22 1730377152 8192,000
offline_datapoint_4 1730377152 0,001
offline_datapoint_11 1730377157 1065958,000
offline_datapoint_5 1730377157 3777,000
offline_datapoint_26 1730377157 909074432,000
offline_datapoint_14 1730377157 578592768,000
offline_datapoint_3 1730377157 12298403840,000
offline_datapoint_9 1730377157 334041088,000
offline_datapoint_25 1730377157 7975,000
offline_datapoint_19 1730377155 0,000
offline_datapoint_8 1730377155 994,488
offline_datapoint_21 1730377157 334041088,000
offline_datapoint_1 1730377155 0,000
offline_datapoint_20 1730377157 8631926784,000
offline_datapoint_7 1730377157 9828712448,000
offline_datapoint_6 1730377155 0,043
offline_datapoint_12 1730377155 1,025
offline_datapoint_24 1730377155 0,609
offline_datapoint_13 1730377155 1817,662
offline_datapoint_18 1730377157 0,000
offline_datapoint_0 1730377155 2257,467
offline_datapoint_16 1730377155 275,504
offline_datapoint_28 1730377155 0,021
offline_datapoint_17 1730377155 3,006
offline_datapoint_10 1730377155 99,935
offline_datapoint_29 1730377155 0,000
offline_datapoint_22 1730377155 20309,333
offline_datapoint_4 1730377155 0,001
offline_datapoint_11 1730377160 1065958,000
offline_datapoint_5 1730377160 3785,000
offline_datapoint_26 1730377160 909131776,000
offline_datapoint_14 1730377160 578605056,000
offline_datapoint_3 1730377160 12310102016,000
offline_datapoint_9 1730377160 335503360,000
offline_datapoint_25 1730377160 7973,000
offline_datapoint_19 1730377158 5,655
offline_datapoint_8 1730377158 6398,276
offline_datapoint_21 1730377160 335503360,000
offline_datapoint_1 1730377158 0,998
offline_datapoint_20 1730377160 8643997696,000
offline_datapoint_7 1730377160 9847336960,000
offline_datapoint_6 1730377158 0,130
offline_datapoint_12 1730377158 4,721
offline_datapoint_24 1730377158 2,339
offline_datapoint_13 1730377158 4119,142
offline_datapoint_18 1730377160 0,000
offline_datapoint_0 1730377158 4525,334
offline_datapoint_16 1730377158 1031,282
offline_datapoint_28 1730377158 0,361
offline_datapoint_17 1730377158 14,638
offline_datapoint_10 1730377158 99,610
offline_datapoint_29 1730377158 1,663
offline_datapoint_22 1730377158 10856,727
offline_datapoint_4 1730377158 0,014
offline_datapoint_11 1730377163 1065958,000
offline_datapoint_5 1730377163 3777,000
offline_datapoint_26 1730377163 908701696,000
offline_datapoint_14 1730377163 578895872,000
offline_datapoint_3 1730377163 12309999616,000
offline_datapoint_9 1730377163 334426112,000
offline_datapoint_25 1730377163 7964,000
offline_datapoint_19 1730377161 0,000
offline_datapoint_8 1730377161 2992,450
offline_datapoint_21 1730377163 334426112,000
offline_datapoint_1 1730377161 0,000
offline_datapoint_20 1730377163 8643117056,000
offline_datapoint_7 1730377163 9840832512,000
offline_datapoint_6 1730377161 0,087
offline_datapoint_12 1730377161 3,237
offline_datapoint_24 1730377161 1,563
offline_datapoint_13 1730377161 2985,448
offline_datapoint_18 1730377163 0,000
offline_datapoint_0 1730377161 3417,561
offline_datapoint_16 1730377161 930,910
offline_datapoint_28 1730377161 0,062
offline_datapoint_17 1730377161 18,672
offline_datapoint_10 1730377161 99,936
offline_datapoint_29 1730377161 7,335
offline_datapoint_22 1730377161 13833,143
offline_datapoint_4 1730377161 0,002
offline_datapoint_11 1730377166 1065958,000
offline_datapoint_5 1730377166 3774,000
offline_datapoint_26 1730377166 908713984,000
offline_datapoint_14 1730377166 579018752,000
offline_datapoint_3 1730377166 12307640320,000
offline_datapoint_9 1730377166 334573568,000
offline_datapoint_25 1730377166 7973,000
offline_datapoint_19 1730377164 3,005
offline_datapoint_8 1730377164 4333,346
offline_datapoint_21 1730377166 334573568,000
offline_datapoint_1 1730377164 0,668
offline_datapoint_20 1730377166 8643563520,000
offline_datapoint_7 1730377166 9842278400,000
offline_datapoint_6 1730377164 0,000
offline_datapoint_12 1730377164 2,283
offline_datapoint_24 1730377164 0,826
offline_datapoint_13 1730377164 2523,472
offline_datapoint_18 1730377166 0,000
offline_datapoint_0 1730377164 2908,154
offline_datapoint_16 1730377164 781,719
offline_datapoint_28 1730377164 0,368
offline_datapoint_17 1730377164 13,023
offline_datapoint_10 1730377164 99,625
offline_datapoint_29 1730377164 0,668
offline_datapoint_22 1730377164 17197,949
offline_datapoint_4 1730377164 0,015
offline_datapoint_11 1730377169 1065958,000
offline_datapoint_5 1730377169 3778,000
offline_datapoint_26 1730377169 908718080,000
offline_datapoint_14 1730377169 579018752,000
offline_datapoint_3 1730377169 12307001344,000
offline_datapoint_9 1730377169 334667776,000
offline_datapoint_25 1730377169 7981,000
offline_datapoint_19 1730377167 0,000
offline_datapoint_8 1730377167 2827,881
offline_datapoint_21 1730377169 334667776,000
offline_datapoint_1 1730377167 0,000
offline_datapoint_20 1730377169 8640356352,000
offline_datapoint_7 1730377169 9817190400,000
offline_datapoint_6 1730377167 0,000
offline_datapoint_12 1730377167 3,354
offline_datapoint_24 1730377167 1,427
offline_datapoint_13 1730377167 2821,571
offline_datapoint_18 1730377169 0,000
offline_datapoint_0 1730377167 3118,805
offline_datapoint_16 1730377167 864,471
offline_datapoint_28 1730377167 0,053
offline_datapoint_17 1730377167 13,948
offline_datapoint_10 1730377167 99,911
offline_datapoint_29 1730377167 0,000
offline_datapoint_22 1730377167 7192,381
offline_datapoint_4 1730377167 0,002
offline_datapoint_11 1730377172 1065958,000
offline_datapoint_5 1730377172 3771,000
offline_datapoint_26 1730377172 908718080,000
offline_datapoint_14 1730377172 579121152,000
offline_datapoint_3 1730377172 12307304448,000
offline_datapoint_9 1730377172 335044608,000
offline_datapoint_25 1730377172 7973,000
offline_datapoint_19 1730377170 0,000
offline_datapoint_8 1730377170 1932,589
offline_datapoint_21 1730377172 335044608,000
offline_datapoint_1 1730377170 0,000
offline_datapoint_20 1730377172 8641159168,000
offline_datapoint_7 1730377172 9828265984,000
offline_datapoint_6 1730377170 0,000
offline_datapoint_12 1730377170 1,113
offline_datapoint_24 1730377170 1,000
offline_datapoint_13 1730377170 1956,299
offline_datapoint_18 1730377172 0,000
offline_datapoint_0 1730377170 2282,572
offline_datapoint_16 1730377170 407,089
offline_datapoint_28 1730377170 0,040
offline_datapoint_17 1730377170 6,679
offline_datapoint_10 1730377170 99,938
offline_datapoint_29 1730377170 0,000
offline_datapoint_22 1730377170 11520,000
offline_datapoint_4 1730377170 0,002
offline_datapoint_11 1730377175 1065958,000
offline_datapoint_5 1730377175 3772,000
offline_datapoint_26 1730377175 908722176,000
offline_datapoint_14 1730377175 579121152,000
offline_datapoint_3 1730377175 12307107840,000
offline_datapoint_9 1730377175 334729216,000
offline_datapoint_25 1730377175 7973,000
offline_datapoint_19 1730377173 0,000
offline_datapoint_8 1730377173 208,144
offline_datapoint_21 1730377175 334729216,000
offline_datapoint_1 1730377173 0,000
offline_datapoint_20 1730377175 8641503232,000
offline_datapoint_7 1730377175 9829441536,000
offline_datapoint_6 1730377173 0,000
offline_datapoint_12 1730377173 1,465
offline_datapoint_24 1730377173 0,346
offline_datapoint_13 1730377173 2123,001
offline_datapoint_18 1730377175 0,000
offline_datapoint_0 1730377173 2470,795
offline_datapoint_16 1730377173 311,883
offline_datapoint_28 1730377173 0,054
offline_datapoint_17 1730377173 20,615
offline_datapoint_10 1730377173 99,899
offline_datapoint_29 1730377173 2,327
offline_datapoint_22 1730377173 6746,839
offline_datapoint_4 1730377173 0,002
offline_datapoint_11 1730377178 1065958,000
offline_datapoint_5 1730377178 3779,000
offline_datapoint_26 1730377178 908898304,000
offline_datapoint_14 1730377178 579125248,000
offline_datapoint_3 1730377178 12317605888,000
offline_datapoint_9 1730377178 334315520,000
offline_datapoint_25 1730377178 7968,000
offline_datapoint_19 1730377176 0,333
offline_datapoint_8 1730377176 6327,360
offline_datapoint_21 1730377178 334315520,000
offline_datapoint_1 1730377176 0,333
offline_datapoint_20 1730377178 8652345344,000
offline_datapoint_7 1730377178 9847984128,000
offline_datapoint_6 1730377176 0,000
offline_datapoint_12 1730377176 4,236
offline_datapoint_24 1730377176 1,776
offline_datapoint_13 1730377176 4138,962
offline_datapoint_18 1730377178 0,000
offline_datapoint_0 1730377176 4397,086
offline_datapoint_16 1730377176 697,866
offline_datapoint_28 1730377176 0,370
offline_datapoint_17 1730377176 17,297
offline_datapoint_10 1730377176 99,619
offline_datapoint_29 1730377176 3,659
offline_datapoint_22 1730377176 12219,077
offline_datapoint_4 1730377176 0,015
offline_datapoint_11 1730377181 1065958,000
offline_datapoint_5 1730377181 3771,000
offline_datapoint_26 1730377181 908898304,000
offline_datapoint_14 1730377181 579125248,000
offline_datapoint_3 1730377181 12318191616,000
offline_datapoint_9 1730377181 334487552,000
offline_datapoint_25 1730377181 7961,000
offline_datapoint_19 1730377179 0,000
offline_datapoint_8 1730377179 3491,792
offline_datapoint_21 1730377181 334487552,000
offline_datapoint_1 1730377179 0,000
offline_datapoint_20 1730377181 8651509760,000
offline_datapoint_7 1730377181 9848066048,000
offline_datapoint_6 1730377179 0,000
offline_datapoint_12 1730377179 2,574
offline_datapoint_24 1730377179 0,952
offline_datapoint_13 1730377179 2325,868
offline_datapoint_18 1730377181 0,000
offline_datapoint_0 1730377179 2666,773
offline_datapoint_16 1730377179 843,293
offline_datapoint_28 1730377179 0,033
offline_datapoint_17 1730377179 5,649
offline_datapoint_10 1730377179 99,938
offline_datapoint_29 1730377179 2,326
offline_datapoint_22 1730377179 15811,765
offline_datapoint_4 1730377179 0,001
offline_datapoint_11 1730377184 1065958,000
offline_datapoint_5 1730377184 3769,000
offline_datapoint_26 1730377184 908898304,000
offline_datapoint_14 1730377184 579125248,000
offline_datapoint_3 1730377184 12317515776,000
offline_datapoint_9 1730377184 334757888,000
offline_datapoint_25 1730377184 7959,000
offline_datapoint_19 1730377182 0,000
offline_datapoint_8 1730377182 5192,563
offline_datapoint_21 1730377184 334757888,000
offline_datapoint_1 1730377182 0,000
offline_datapoint_20 1730377184 8652365824,000
offline_datapoint_7 1730377184 9849040896,000
offline_datapoint_6 1730377182 0,000
offline_datapoint_12 1730377182 3,617
offline_datapoint_24 1730377182 1,564
offline_datapoint_13 1730377182 2926,529
offline_datapoint_18 1730377184 0,000
offline_datapoint_0 1730377182 3158,703
offline_datapoint_16 1730377182 2021,850
offline_datapoint_28 1730377182 0,034
offline_datapoint_17 1730377182 5,337
offline_datapoint_10 1730377182 99,968
offline_datapoint_29 1730377182 2,002
offline_datapoint_22 1730377182 20864,000
offline_datapoint_4 1730377182 0,001
offline_datapoint_11 1730377187 1065958,000
offline_datapoint_5 1730377187 3758,000
offline_datapoint_26 1730377187 908898304,000
offline_datapoint_14 1730377187 579227648,000
offline_datapoint_3 1730377187 12306706432,000
offline_datapoint_9 1730377187 335056896,000
offline_datapoint_25 1730377187 7978,000
offline_datapoint_19 1730377185 0,000
offline_datapoint_8 1730377185 2924,406
offline_datapoint_21 1730377187 335056896,000
offline_datapoint_1 1730377185 0,000
offline_datapoint_20 1730377187 8639758336,000
offline_datapoint_7 1730377187 9827794944,000
offline_datapoint_6 1730377185 0,044
offline_datapoint_12 1730377185 2,158
offline_datapoint_24 1730377185 1,133
offline_datapoint_13 1730377185 2685,864
offline_datapoint_18 1730377187 0,000
offline_datapoint_0 1730377185 3218,486
offline_datapoint_16 1730377185 2699,246
offline_datapoint_28 1730377185 0,063
offline_datapoint_17 1730377185 17,397
offline_datapoint_10 1730377185 99,918
offline_datapoint_29 1730377185 1,338
offline_datapoint_22 1730377185 13193,846
offline_datapoint_4 1730377185 0,003
offline_datapoint_11 1730377190 1065958,000
offline_datapoint_5 1730377190 3775,000
